# Channel	Signal	X(mm)	Y(mm)	Z(mm)	Phi(rad)	Theta(rad)
140	0	85.7045	-0.00144821	967.141	1.57081	0.0995433
141	0	97.7688	-0.00144719	965.936	1.57081	0.0995433
142	0	91.7366	10.4986	966.538	1.57081	0.0995433
143	6.58171	79.6723	10.4986	967.743	1.57081	0.0995433
144	0	73.6401	-0.00144922	968.346	1.57081	0.0995433
145	0.183462	79.6723	-10.5014	967.743	1.57081	0.0995433
146	0	91.7366	-10.5014	966.538	1.57081	0.0995433
147	0	91.7793	31.7933	965.923	1.23732	0.112867
148	0	103.835	31.7694	964.632	1.23732	0.112867
149	7.9806	97.7864	42.2742	964.891	1.23732	0.112867
150	0	85.7309	42.298	966.181	1.23732	0.112867
151	0	79.7238	31.8171	967.213	1.23732	0.112867
152	9.6891	85.7722	21.3124	966.955	1.23732	0.112867
153	0	97.8277	21.2885	965.665	1.23732	0.112867
154	2.10981	67.3383	53.017	967.141	0.903833	0.0995433
155	0	79.4256	52.9879	966.194	0.903833	0.0995433
156	0	73.3567	63.4826	966.022	0.903833	0.0995433
157	0	61.2694	63.5117	966.969	0.903833	0.0995433
158	0	55.251	53.0462	968.088	0.903833	0.0995433
159	0	61.3199	42.5515	968.26	0.903833	0.0995433
160	10.572	73.4072	42.5223	967.313	0.903833	0.0995433
161	0	42.8535	74.2215	967.141	0.523616	0.0995433
162	0	54.9628	74.1955	966.538	0.523616	0.0995433
163	6.08865	48.8857	84.6695	965.936	0.523616	0.0995433
164	2.04102	36.7763	84.6955	966.538	0.523616	0.0995433
165	0	30.7441	74.2475	967.743	0.523616	0.0995433
166	0	36.8213	63.7735	968.346	0.523616	0.0995433
167	0	48.9307	63.7475	967.743	0.523616	0.0995433
168	4.15083	18.3559	95.3798	965.923	0.190126	0.112867
169	0.573319	30.4775	95.3655	965.665	0.190126	0.112867
170	0	24.4043	105.808	964.632	0.190126	0.112867
171	4.42602	12.2827	105.823	964.891	0.190126	0.112867
172	0	6.23426	95.3941	966.181	0.190126	0.112867
173	0	12.3075	84.9514	967.213	0.190126	0.112867
174	0	24.4291	84.9371	966.955	0.190126	0.112867
175	0	-12.2449	84.8252	967.141	-0.143364	0.0995433
176	4.74708	-0.121799	84.8337	967.313	-0.143364	0.0995433
177	0	-6.17601	95.2785	966.194	-0.143364	0.0995433
178	0	-18.2991	95.2701	966.022	-0.143364	0.0995433
179	0	-24.3681	84.8167	966.969	-0.143364	0.0995433
180	0	-18.3138	74.3719	968.088	-0.143364	0.0995433
181	0	-6.19071	74.3804	968.26	-0.143364	0.0995433
182	3.9559	-42.851	74.223	967.141	-0.523582	0.0995433
183	0	-30.7416	74.249	967.743	-0.523582	0.0995433
184	0	-36.7738	84.697	966.538	-0.523582	0.0995433
185	0	-48.8832	84.671	965.936	-0.523582	0.0995433
186	0	-54.9603	74.197	966.538	-0.523582	0.0995433
187	0	-48.9282	63.749	967.743	-0.523582	0.0995433
188	0	-36.8188	63.775	968.346	-0.523582	0.0995433
189	0	-73.4234	63.5866	965.923	-0.857072	0.112867
190	0	-61.3432	63.6247	966.955	-0.857072	0.112867
191	7.88887	-67.3502	74.077	965.665	-0.857072	0.112867
192	0	-79.4305	74.0388	964.632	-0.857072	0.112867
193	0	-85.5037	63.5484	964.891	-0.857072	0.112867
194	5.29747	-79.4966	53.0961	966.181	-0.857072	0.112867
195	0	-67.4164	53.1343	967.213	-0.857072	0.112867
196	0	-79.5833	31.8082	967.141	-1.19056	0.0995433
197	0	-67.5107	31.8289	968.26	-1.19056	0.0995433
198	0	-73.529	42.3114	967.313	-1.19056	0.0995433
199	0	-85.6017	42.2907	966.194	-1.19056	0.0995433
200	8.92085	-91.6559	31.7875	966.022	-1.19056	0.0995433
201	0	-85.6375	21.305	966.969	-1.19056	0.0995433
202	0	-73.5649	21.3257	968.088	-1.19056	0.0995433
